,Days,Index
505,749,10050.98046875
506,750,10040.91015625
507,751,10074.0498046875
508,752,10144.1396484375
509,755,10220.849609375
510,756,10026.0302734375
511,757,9919.48046875
512,758,9997.7998046875
513,759,9791.4296875
514,762,9631.9296875
515,763,9475.599609375
516,764,9420.849609375
517,765,9583.26953125
518,766,9686.0595703125
519,770,9877.990234375
520,771,9968.349609375
521,772,10081.08984375
522,773,10048.099609375
523,776,10093.25
524,777,9847.16015625
525,778,9834.1298828125
526,779,10295.419921875
527,780,10356.7802734375
528,783,10296.4697265625
529,784,10202.6298828125
530,785,10573.08984375
531,786,10587.830078125
532,787,10812.0
533,790,11450.2197265625
534,791,11348.4501953125
535,792,11358.5302734375
536,793,11648.33984375
537,794,11885.7900390625
538,797,11919.2998046875
539,798,11607.330078125
540,799,11415.3095703125
541,800,11568.8203125
542,801,11648.009765625
543,804,11498.3798828125
544,805,11792.8203125
545,806,11526.7802734375
546,808,11345.080078125
547,811,11261.08984375
548,812,11207.919921875
549,813,11323.6796875
550,814,11333.1103515625
551,815,11024.9404296875
552,818,11028.7001953125
553,819,11204.490234375
554,820,11400.7099609375
555,821,11379.2001953125
556,822,11335.490234375
557,825,11352.8896484375
558,826,11114.490234375
559,827,11218.580078125
560,828,11147.26953125
561,829,10962.98046875
562,832,11137.2998046875
563,833,11346.66015625
564,834,11543.7099609375
565,835,11575.73046875
566,836,11512.009765625
567,839,11721.6396484375
568,840,11736.830078125
569,841,11672.8798828125
570,842,11648.7197265625
571,843,11541.3896484375
572,847,11492.5400390625
573,848,11552.7900390625
574,849,11551.009765625
575,854,11316.0400390625
576,855,11520.75
577,856,11633.2998046875
578,857,11531.1103515625
579,860,11336.9501953125
580,861,11356.1904296875
581,862,11642.9697265625
582,863,11738.6904296875
583,864,11847.3203125
584,867,11856.5400390625
585,868,11801.16015625
586,869,11961.98046875
587,870,11979.849609375
588,871,11976.2802734375
589,874,11976.349609375
590,875,11936.080078125
591,876,11853.0
592,877,11770.0302734375
593,878,11763.7001953125
594,881,11901.3896484375
595,882,11653.0703125
596,883,11663.8701171875
597,884,11574.9404296875
598,885,11438.5302734375
599,888,11370.2099609375
600,889,11449.4404296875
601,890,11327.0595703125
602,891,11144.83984375
603,892,10920.6298828125
604,895,10664.1103515625
605,896,10839.9296875
606,897,10476.1796875
607,898,10612.98046875
608,899,10354.349609375
609,902,10471.3203125
610,903,10496.669921875
611,904,10074.5595703125
612,905,10261.599609375
613,906,10621.83984375
614,909,10595.4404296875
615,910,10622.3203125
616,911,10812.2998046875
617,912,10632.8095703125
618,913,10826.08984375
619,916,10769.2001953125
620,917,10960.25
621,918,10752.66015625
622,919,10485.740234375
623,920,10601.4501953125
624,923,10375.150390625
625,924,10250.419921875
626,925,10296.01953125
627,926,10498.259765625
628,927,10202.3603515625
629,930,10189.009765625
630,931,10215.6298828125
631,932,9947.7197265625
632,933,9929.91015625
633,934,9591.0302734375
634,937,9666.669921875
635,938,10003.7197265625
636,939,9877.9404296875
637,940,9793.509765625
638,941,9709.66015625
639,944,9704.9296875
640,945,9501.01953125
641,946,9834.400390625
642,947,9799.5703125
643,948,9999.7900390625
644,951,9747.8203125
645,952,9688.6103515625
646,953,9638.41015625
647,954,9795.5703125
648,955,9788.1298828125
649,958,9599.099609375
650,959,9620.6904296875
651,960,9642.6103515625
652,961,9814.01953125
653,962,9867.4501953125
654,965,10067.740234375
655,966,9907.2998046875
656,967,9766.73046875
657,968,9620.1396484375
658,969,9619.2998046875
659,972,9521.6298828125
660,973,9217.0400390625
661,974,9075.08984375
662,975,9222.1201171875
663,976,9129.0703125
664,979,9306.259765625
665,980,9309.3095703125
666,981,9400.080078125
667,982,9415.23046875
668,983,9241.9296875
669,987,9543.9404296875
670,988,9472.0595703125
671,989,9669.6201171875
672,990,9481.080078125
673,994,9321.6396484375
674,995,9165.41015625
675,996,9320.919921875
676,997,9530.4404296875
677,1000,9383.2900390625
678,1001,9162.259765625
679,1002,9049.330078125
680,1003,8936.4296875
681,1004,9027.5498046875
682,1007,8688.0
683,1008,8708.900390625
684,1009,8539.33984375
685,1010,8439.6201171875
686,1011,8529.6103515625
687,1015,8836.73046875
688,1016,8884.8701171875
689,1017,8959.8798828125
690,1018,9086.1298828125
691,1021,8978.41015625
692,1022,8689.3896484375
693,1023,8714.51953125
694,1024,8614.2998046875
695,1025,8726.2900390625
696,1028,8757.509765625
697,1029,8708.759765625
698,1030,8756.58984375
699,1031,8640.48046875
700,1032,8685.7197265625
701,1036,8937.5595703125
702,1037,8953.2900390625
703,1038,8920.4404296875
704,1039,8690.76953125
705,1042,8460.3701171875
706,1043,8464.76953125
707,1044,8438.51953125
708,1045,8303.3896484375
709,1046,8503.58984375
710,1049,8346.009765625
711,1050,8365.259765625
712,1051,8459.6201171875
713,1052,8668.0595703125
714,1053,8772.5595703125
715,1056,8944.4404296875
716,1057,8823.990234375
717,1058,8875.8798828125
718,1059,9176.7802734375
719,1060,9215.5595703125
720,1063,9174.4697265625
721,1064,9205.1103515625
722,1065,9006.73046875
723,1066,8917.5703125
724,1067,8863.259765625
725,1070,8828.0498046875
726,1071,8804.51953125
727,1072,8727.66015625
728,1073,8708.6904296875
729,1074,8516.0703125
730,1077,8450.9404296875
731,1078,8510.73046875
732,1079,8344.009765625
733,1080,8387.5703125
734,1081,8406.8798828125
735,1085,8512.3701171875
736,1086,8501.1396484375
737,1087,8700.099609375
738,1088,8714.0498046875
739,1091,8578.9501953125
740,1098,8713.330078125
741,1099,8656.5
742,1100,8517.7998046875
743,1101,8497.9296875
744,1102,8470.4501953125
745,1106,8553.0595703125
746,1107,8611.75
747,1108,8609.169921875
748,1109,8690.25
749,1112,8558.8203125
750,1113,8708.580078125
751,1114,8611.0400390625
752,1115,8790.919921875
753,1116,8731.650390625
754,1119,8609.4697265625
755,1120,8525.3896484375
756,1121,8331.080078125
757,1122,8316.8095703125
758,1123,8339.9404296875
759,1126,8500.7900390625
760,1127,8484.900390625
761,1128,8549.849609375
762,1129,8484.1904296875
763,1130,8448.16015625
764,1133,8484.9296875
765,1135,8664.169921875
766,1136,8599.66015625
767,1137,8701.919921875
768,1140,8771.8896484375
769,1141,8692.9697265625
770,1142,8678.4404296875
771,1143,8650.919921875
772,1144,8513.5400390625
773,1147,8564.9501953125
774,1148,8360.490234375
775,1149,8356.8095703125
776,1150,8359.3798828125
777,1151,8363.0400390625
778,1154,8490.400390625
779,1155,8480.2197265625
780,1156,8472.6201171875
781,1157,8369.150390625
782,1158,8144.1201171875
783,1161,8042.259765625
784,1162,7862.43017578125
785,1163,7943.0400390625
786,1164,7868.56005859375
787,1165,8002.68994140625
788,1168,7871.64013671875
789,1169,7954.4599609375
790,1170,8051.0400390625
791,1171,8195.0498046875
792,1175,8435.0703125
793,1176,8238.759765625
794,1177,8351.919921875
795,1178,8368.669921875
796,1179,8280.16015625
797,1182,7972.7099609375
798,1183,7986.72021484375
799,1184,8069.85009765625
800,1185,8017.75
801,1186,8074.1201171875
802,1189,8249.98046875
803,1190,8131.41015625
804,1191,8057.60986328125
805,1192,7980.1201171875
806,1193,7816.490234375
807,1196,7752.10009765625
808,1197,7838.830078125
809,1198,7879.490234375
810,1199,7821.89990234375
811,1200,7874.509765625
812,1203,7969.080078125
813,1204,7790.4599609375
814,1205,7793.3798828125
815,1206,7854.56982421875
816,1207,7699.5
817,1210,7607.8798828125
818,1212,7831.419921875
819,1213,7863.2900390625
820,1214,7907.18994140625
821,1218,8083.56005859375
822,1219,8109.77001953125
823,1220,8031.5498046875
824,1221,8152.16015625
825,1224,8221.1201171875
826,1225,8190.259765625
827,1226,8244.91015625
828,1227,8123.39990234375
829,1228,8117.2900390625
830,1231,8039.1298828125
831,1232,8059.47998046875
832,1233,8018.509765625
833,1234,8051.66015625
834,1235,8184.759765625
835,1238,8227.3203125
836,1239,8120.240234375
837,1240,8234.1796875
838,1241,8375.3603515625
839,1242,8424.509765625
840,1245,8547.169921875
841,1246,8564.490234375
842,1247,8557.8603515625
843,1248,8657.23046875
844,1249,8785.8701171875
845,1252,8822.73046875
846,1253,8789.08984375
847,1254,8890.2998046875
848,1255,8918.599609375
849,1256,8980.6396484375
850,1259,8839.830078125
851,1260,9033.0
852,1261,9092.9697265625
853,1262,9110.509765625
854,1263,9120.3896484375
855,1266,9137.1396484375
856,1267,8919.259765625
857,1268,8932.259765625
858,1269,8923.41015625
859,1270,9104.0595703125
860,1273,9083.1103515625
861,1274,9278.490234375
862,1275,9592.240234375
863,1276,9624.7998046875
864,1277,9547.73046875
865,1280,9795.16015625
866,1281,9898.7197265625
867,1282,9990.9501953125
868,1283,9955.6201171875
869,1284,9635.349609375
870,1287,9755.6298828125
871,1288,9751.0
872,1289,9735.9697265625
873,1290,9498.8603515625
874,1291,9527.73046875
875,1295,9485.9697265625
876,1296,9615.33984375
877,1297,9671.0
878,1298,9648.009765625
879,1301,9839.91015625
880,1302,9834.3095703125
881,1303,9632.66015625
882,1304,9563.2099609375
883,1305,9611.669921875
884,1308,9452.7900390625
885,1309,9382.580078125
886,1310,9323.91015625
887,1311,9265.5595703125
888,1312,9327.5302734375
889,1315,9487.7998046875
890,1316,9564.8095703125
891,1317,9752.75
892,1318,9913.4697265625
893,1319,9863.4697265625
894,1322,10032.9697265625
895,1323,10174.099609375
896,1324,10292.0595703125
897,1325,10362.6904296875
898,1326,10281.169921875
899,1329,10276.6396484375
900,1330,10332.5703125
901,1331,10308.990234375
902,1332,10225.2197265625
903,1333,10343.5498046875
904,1336,10670.1796875
905,1337,10690.080078125
906,1338,10715.6904296875
907,1339,10646.9501953125
908,1340,10650.76953125
909,1343,10683.759765625
910,1344,10922.0400390625
911,1345,10856.3203125
912,1346,10546.330078125
913,1347,10712.8095703125
914,1351,10887.0302734375
915,1352,10990.1103515625
916,1353,11033.3203125
917,1354,10938.419921875
918,1357,10475.099609375
919,1359,10502.2900390625
920,1360,10310.0400390625
921,1361,10318.4404296875
922,1364,10229.5703125
923,1365,10219.0498046875
924,1366,10361.240234375
925,1367,10593.5302734375
926,1368,10709.2900390625
927,1371,10740.1396484375
928,1372,10820.330078125
929,1373,10542.2001953125
930,1374,10531.4404296875
931,1375,10786.0400390625
932,1379,10966.4296875
933,1380,10899.9501953125
934,1381,11025.150390625
935,1382,11037.8896484375
936,1385,11161.7099609375
937,1386,11031.51953125
938,1387,10889.6201171875
939,1388,10335.16015625
940,1389,10335.7001953125
941,1392,10454.1201171875
942,1393,10561.009765625
943,1394,10739.2197265625
944,1395,10695.5595703125
945,1396,10559.58984375
946,1400,10847.9697265625
947,1401,10837.5400390625
948,1402,10552.2998046875
949,1403,10628.98046875
950,1406,10504.5400390625
951,1407,10207.0400390625
952,1408,10226.2197265625
953,1409,10337.669921875
954,1410,10167.0595703125
955,1413,9786.830078125
956,1414,9897.0498046875
957,1415,9614.599609375
958,1416,9865.7001953125
959,1417,9852.830078125
960,1421,9960.2001953125
961,1422,10144.830078125
962,1423,10163.3798828125
963,1424,10100.5703125
964,1427,10403.26953125
965,1428,10410.150390625
966,1429,10326.3896484375
967,1430,10429.990234375
968,1431,10373.4599609375
969,1434,10045.33984375
970,1435,10124.2802734375
971,1436,9910.5595703125
972,1437,10075.1396484375
973,1438,10169.66015625
974,1441,10490.76953125
975,1442,10271.599609375
976,1443,10092.6396484375
977,1444,10104.0
978,1445,10284.5400390625
979,1448,10372.509765625
980,1450,10371.26953125
981,1451,10365.349609375
982,1452,10417.41015625
983,1455,10500.6201171875
984,1456,10676.6396484375
985,1462,10825.169921875
986,1463,10813.990234375
987,1464,10757.8203125
988,1465,10837.650390625
989,1466,10965.0498046875
990,1470,10849.6796875
991,1471,10863.0
992,1472,10665.150390625
993,1473,10857.2001953125
994,1476,11036.330078125
995,1477,11103.099609375
996,1478,11002.3896484375
997,1479,11000.7001953125
998,1480,11069.009765625
999,1483,10972.599609375
1000,1484,10928.0302734375
1001,1485,10852.4697265625
1002,1486,10779.4404296875
1003,1487,10783.6103515625
1004,1490,10776.73046875
1005,1491,10641.919921875
1006,1492,10447.25
1007,1493,10464.599609375
1008,1494,10460.919921875
1009,1497,10402.6103515625
1010,1498,10365.400390625
1011,1500,10459.259765625
1012,1501,10557.6904296875
1013,1504,10548.7197265625
1014,1505,10701.1298828125
1015,1506,10676.8095703125
1016,1507,10753.7998046875
1017,1508,10720.6904296875
1018,1511,10868.9599609375
1019,1512,10644.1298828125
1020,1513,10658.73046875
1021,1514,10815.2900390625
1022,1515,11041.919921875
1023,1518,11271.1201171875
1024,1519,11361.509765625
1025,1520,11351.919921875
1026,1521,11401.7900390625
1027,1522,11537.2900390625
1028,1525,11502.8603515625
1029,1526,11532.0400390625
1030,1527,11433.240234375
1031,1528,11297.0400390625
1032,1529,11162.75
1033,1532,11317.900390625
1034,1533,11242.2900390625
1035,1534,11436.8603515625
1036,1535,11484.2802734375
1037,1536,11418.509765625
1038,1539,11318.509765625
1039,1540,11281.08984375
1040,1541,11364.990234375
1041,1542,11530.91015625
1042,1543,11770.650390625
1043,1546,11718.240234375
1044,1547,11693.6796875
1045,1548,11715.3896484375
1046,1549,11683.419921875
1047,1550,11815.9501953125
1048,1553,11958.3203125
1049,1554,12079.7001953125
1050,1555,12019.6201171875
1051,1556,12092.58984375
1052,1557,11897.509765625
1053,1560,12042.7001953125
1054,1561,12127.8203125
1055,1562,12098.1796875
1056,1563,11800.400390625
1057,1564,11824.5595703125
